TUCASEID,weight,race,age,labor_force_status,sex,day,year,category,TULINENO,region,division,state,metro_status,metro_area,county,category_sum_min,category_sum_hour,category_sum_hour_weight
20200112191800,41404213.879509,Black,51,Retired,Male,3,2020,socializing,1,Northeast,Middle Atlantic,NY,metropolitan,35620,5,0,0,0
20200112191802,5673709.85982,White,68,Employed-At work,Male,7,2020,socializing,1,Midwest,West North Central,MO,metropolitan,28140,0,0,0,0
20200112191805,28936262.979154,White,42,Employed-At work,Female,3,2020,socializing,1,Northeast,Middle Atlantic,PA,non-metropolitan,0,107,0,0,0
20200112191807,19563830.495093,White,61,Employed-At work,Male,3,2020,socializing,1,South,East South Central,TN,metropolitan,34980,189,0,0,0
20200112191808,6064410.454923,Black,51,Employed-At work,Female,6,2020,socializing,1,Midwest,East North Central,IN,metropolitan,29200,0,0,0,0
20200112191809,16193626.031147,White,69,Retired,Female,4,2020,socializing,1,South,South Atlantic,GA,metropolitan,12020,0,60,1,16193626.031147
20200112191814,5808482.826314,White,42,Employed-At work,Male,7,2020,socializing,1,West,Pacific,CA,metropolitan,31080,37,0,0,0
20200112191815,12038165.390169,White,71,Retired,Male,3,2020,socializing,1,Northeast,New England,VT,non-metropolitan,0,0,0,0,0
20200112191820,6552199.770414,Black,33,Unemployed-Looking,Female,3,2020,socializing,1,West,Pacific,CA,non-metropolitan,0,0,0,0,0
20200112191822,12523251.949505,White,47,Employed-At work,Male,1,2020,socializing,1,Midwest,East North Central,WI,metropolitan,24580,0,0,0,0
20200112191823,16794044.00639,White,69,Retired,Female,4,2020,socializing,1,South,West South Central,TX,metropolitan,26420,0,60,1,16794044.00639
20200112191826,22554529.709134,White,26,Employed-At work,Female,2,2020,socializing,1,West,Mountain,NV,metropolitan,0,0,0,0,0
20200112191829,8460433.215347,White,37,Employed-At work,Male,3,2020,socializing,1,South,South Atlantic,GA,metropolitan,12060,135,0,0,0
20200112191830,5212180.333076,White,28,Employed-At work,Male,6,2020,socializing,1,West,Mountain,ID,non-metropolitan,0,0,30,0.5,2606090.166538
20200112191839,5505551.000854,White,69,Retired,Female,1,2020,socializing,1,Midwest,East North Central,MI,metropolitan,19820,125,0,0,0
20200112191841,5217588.399925,White,62,Retired,Female,4,2020,socializing,1,West,Mountain,AZ,metropolitan,49740,27,0,0,0
20200112191843,3069467.198155,White,29,Employed-Absent,Female,7,2020,socializing,1,West,Mountain,CO,metropolitan,19740,0,0,0,0
20200112191845,7198736.002457,Black,58,Retired,Female,3,2020,socializing,1,South,East South Central,AL,metropolitan,22520,0,180,3,21596208.007371
20200112191848,15065265.308875,White,28,Employed-At work,Female,6,2020,socializing,1,South,South Atlantic,NC,metropolitan,39580,0,0,0,0
20200112191849,20203733.077528,2+ races,62,Retired,Female,5,2020,socializing,1,West,Pacific,CA,metropolitan,41740,73,0,0,0
20200112191853,11496158.223148,White,32,Retired,Male,3,2020,socializing,NA,NA,NA,NA,NA,NA,NA,34,0.5666666666666667,6514489.659783866
